Time: 18/13:33:48 Arduino 0: 
Time: 18/13:33:54 Arduino 0: 0: 262.62,1: 257.70,2: 251.37,3: 246.80,4: 242.23,5: 235.55,6: 231.68
Time: 18/13:33:54 Arduino 0: 0: 263.32,1: 257.70,2: 252.42,3: 246.45,4: 241.52,5: 236.25,6: 230.27
Time: 18/13:33:54 Arduino 0: 0: 263.32,1: 258.40,2: 251.37,3: 247.15,4: 241.52,5: 235.55,6: 230.98
Time: 18/13:33:54 Arduino 0: 0: 262.97,1: 257.70,2: 252.42,3: 246.45,4: 241.52,5: 236.25,6: 229.92
Time: 18/13:33:54 Arduino 0: 0: 262.27,1: 257.70,2: 251.72,3: 246.80,4: 240.47,5: 235.90,6: 230.63
Time: 18/13:33:54 Arduino 0: 0: 262.62,1: 257.70,2: 252.42,3: 246.09,4: 241.52,5: 235.20,6: 230.27
Time: 18/13:33:54 Arduino 0: 0: 263.32,1: 256.99,2: 252.07,3: 247.15,4: 240.47,5: 235.90,6: 229.92
Time: 18/13:33:55 Arduino 0: 0: 262.97,1: 257.34,2: 251.37,3: 246.45,4: 241.52,5: 234.84,6: 230.27
Time: 18/13:33:55 Arduino 0: 0: 263.67,1: 257.34,2: 252.07,3: 246.45,4: 240.47,5: 235.90,6: 228.87
Time: 18/13:33:55 Arduino 0: 0: 262.62,1: 258.75,2: 251.37,3: 247.15,4: 241.52,5: 234.84,6: 230.27
Time: 18/13:33:55 Arduino 0: 0: 263.32,1: 257.34,2: 252.42,3: 246.09,4: 241.17,5: 235.90,6: 229.22
Time: 18/13:33:55 Arduino 0: 0: 262.62,1: 257.34,2: 251.37,3: 246.80,4: 240.47,5: 235.20,6: 230.27
Time: 18/13:33:55 Arduino 0: 0: 261.91,1: 257.70,2: 252.07,3: 245.74,4: 241.17,5: 235.20,6: 229.57
Time: 18/13:33:55 Arduino 0: 0: 263.32,1: 257.34,2: 251.37,3: 246.80,4: 240.12,5: 235.20,6: 229.92
Time: 18/13:33:55 Arduino 0: 0: 262.62,1: 257.70,2: 251.37,3: 246.09,4: 240.82,5: 234.14,6: 229.57
Time: 18/13:33:55 Arduino 0: 0: 263.32,1: 256.99,2: 252.07,3: 246.45,4: 240.12,5: 235.55,6: 228.87
Time: 18/13:33:55 Arduino 0: 0: 262.62,1: 258.05,2: 251.02,3: 246.45,4: 240.82,5: 234.14,6: 229.92
Time: 18/13:33:55 Arduino 0: 0: 263.67,1: 257.34,2: 252.07,3: 245.74,4: 240.82,5: 235.55,6: 228.52
Time: 18/13:33:55 Arduino 0: 0: 262.62,1: 257.34,2: 251.37,3: 246.80,4: 240.47,5: 234.84,6: 229.92
Time: 18/13:33:55 Arduino 0: 0: 262.27,1: 257.34,2: 252.07,3: 245.39,4: 241.17,5: 235.20,6: 228.87
Time: 18/13:33:55 Arduino 0: 0: 262.62,1: 257.34,2: 251.37,3: 246.80,4: 240.12,5: 234.84,6: 229.57
Time: 18/13:33:56 Arduino 0: 0: 262.97,1: 258.05,2: 252.07,3: 245.74,4: 241.17,5: 234.14,6: 229.22
Time: 18/13:33:56 Arduino 0: 0: 262.62,1: 257.34,2: 252.07,3: 246.80,4: 239.77,5: 235.20,6: 228.87
Time: 18/13:33:56 Arduino 0: 0: 262.27,1: 257.70,2: 251.02,3: 246.09,4: 240.82,5: 234.14,6: 229.57
Time: 18/13:33:56 Arduino 0: 0: 262.97,1: 257.70,2: 252.42,3: 246.45,4: 240.82,5: 235.20,6: 228.52
Time: 18/13:33:56 Arduino 0: 0: 265.43,1: 259.45,2: 252.42,3: 247.50,4: 241.52,5: 234.84,6: 230.27
Time: 18/13:33:56 Arduino 0: 0: 268.24,1: 260.86,2: 255.23,3: 247.85,4: 242.58,5: 236.60,6: 229.57
Time: 18/13:33:56 Arduino 0: 0: 270.70,1: 264.02,2: 256.29,3: 250.66,4: 243.28,5: 237.30,6: 231.33
Time: 18/13:33:56 Arduino 0: 0: 272.81,1: 266.84,2: 259.45,3: 251.72,4: 246.09,5: 238.71,6: 232.03
Time: 18/13:33:56 Arduino 0: 0: 276.33,1: 267.89,2: 260.86,3: 254.53,4: 246.45,5: 240.47,6: 233.79
Time: 18/13:33:56 Arduino 0: 0: 277.73,1: 271.05,2: 263.32,3: 255.94,4: 249.26,5: 241.17,6: 235.55
Time: 18/13:33:56 Arduino 0: 0: 280.20,1: 273.16,2: 265.78,3: 258.40,4: 250.66,5: 243.63,6: 235.90
Time: 18/13:33:56 Arduino 0: 0: 283.01,1: 275.98,2: 266.84,3: 260.86,4: 252.77,5: 244.69,6: 238.36
Time: 18/13:33:56 Arduino 0: 0: 286.52,1: 277.38,2: 269.65,3: 261.56,4: 254.88,5: 247.15,6: 238.71
Time: 18/13:33:57 Arduino 0: 0: 287.93,1: 280.20,2: 271.41,3: 264.38,4: 255.94,5: 248.20,6: 241.17
Time: 18/13:33:57 Arduino 0: 0: 289.69,1: 282.66,2: 274.22,3: 265.78,4: 258.40,5: 250.31,6: 241.88
Time: 18/13:33:57 Arduino 0: 0: 293.20,1: 284.77,2: 275.98,3: 268.95,4: 259.10,5: 252.07,6: 243.98
Time: 18/13:33:57 Arduino 0: 0: 296.02,1: 287.58,2: 278.79,3: 270.00,4: 262.27,5: 252.77,6: 245.39
Time: 18/13:33:57 Arduino 0: 0: 296.37,1: 288.28,2: 280.20,3: 272.81,4: 262.97,5: 255.23,6: 246.45
Time: 18/13:33:57 Arduino 0: 0: 296.02,1: 288.98,2: 279.84,3: 272.81,4: 264.73,5: 255.23,6: 248.20
Time: 18/13:33:57 Arduino 0: 0: 297.42,1: 288.28,2: 280.90,3: 273.16,4: 264.73,5: 256.99,6: 247.85
Time: 18/13:33:57 Arduino 0: 0: 295.31,1: 290.04,2: 280.20,3: 273.52,4: 265.43,5: 256.64,6: 249.61
Time: 18/13:33:57 Arduino 0: 0: 296.02,1: 288.98,2: 280.90,3: 272.81,4: 265.43,5: 257.70,6: 248.91
Time: 18/13:33:57 Arduino 0: 0: 295.66,1: 289.34,2: 280.55,3: 274.22,4: 264.73,5: 257.34,6: 250.66
Time: 18/13:33:57 Arduino 0: 0: 295.66,1: 288.63,2: 281.25,3: 273.16,4: 265.78,5: 257.34,6: 249.96
Time: 18/13:33:57 Arduino 0: 0: 295.31,1: 288.28,2: 280.90,3: 274.22,4: 265.08,5: 258.05,6: 250.31
Time: 18/13:33:57 Arduino 0: 0: 295.66,1: 288.98,2: 280.55,3: 273.52,4: 266.13,5: 256.99,6: 250.66
