Time: 19/19:1:6 Arduino 0: 
Time: 19/19:1:16 Arduino 0: 0: 263.32,1: 258.75,2: 254.53,3: 250.31,4: 245.04,5: 241.52,6: 236.95
Time: 19/19:1:16 Arduino 0: 0: 262.97,1: 259.10,2: 254.18,3: 249.96,4: 246.09,5: 240.47,6: 237.30
Time: 19/19:1:16 Arduino 0: 0: 262.97,1: 258.75,2: 254.88,3: 249.96,4: 245.39,5: 241.52,6: 236.25
Time: 19/19:1:16 Arduino 0: 0: 263.32,1: 259.10,2: 253.83,3: 250.31,4: 245.74,5: 240.47,6: 237.66
Time: 19/19:1:16 Arduino 0: 0: 262.62,1: 258.75,2: 254.88,3: 249.61,4: 245.39,5: 241.17,6: 235.90
Time: 19/19:1:16 Arduino 0: 0: 263.32,1: 259.10,2: 253.83,3: 250.66,4: 245.39,5: 240.82,6: 237.30
Time: 19/19:1:16 Arduino 0: 0: 263.32,1: 258.75,2: 254.53,3: 249.61,4: 245.74,5: 240.82,6: 236.25
Time: 19/19:1:16 Arduino 0: 0: 263.67,1: 258.75,2: 254.18,3: 250.31,4: 244.69,5: 241.17,6: 236.60
Time: 19/19:1:16 Arduino 0: 0: 262.97,1: 259.10,2: 254.18,3: 249.61,4: 245.74,5: 240.12,6: 236.60
Time: 19/19:1:16 Arduino 0: 0: 263.32,1: 258.40,2: 254.53,3: 249.96,4: 245.04,5: 241.17,6: 235.90
Time: 19/19:1:17 Arduino 0: 0: 263.67,1: 258.75,2: 253.48,3: 249.96,4: 245.39,5: 240.12,6: 236.95
Time: 19/19:1:17 Arduino 0: 0: 262.62,1: 258.75,2: 254.53,3: 249.26,4: 245.04,5: 240.82,6: 235.20
Time: 19/19:1:17 Arduino 0: 0: 263.67,1: 259.10,2: 253.83,3: 250.31,4: 245.39,5: 240.47,6: 236.95
Time: 19/19:1:17 Arduino 0: 0: 264.73,1: 259.10,2: 254.53,3: 249.61,4: 245.74,5: 240.82,6: 235.90
Time: 19/19:1:17 Arduino 0: 0: 263.32,1: 258.75,2: 254.18,3: 250.31,4: 244.69,5: 240.82,6: 236.60
Time: 19/19:1:17 Arduino 0: 0: 263.32,1: 259.45,2: 254.53,3: 250.31,4: 246.09,5: 240.47,6: 236.60
Time: 19/19:1:17 Arduino 0: 0: 266.48,1: 260.86,2: 255.94,3: 251.37,4: 245.74,5: 241.88,6: 236.60
Time: 19/19:1:17 Arduino 0: 0: 269.65,1: 263.67,2: 257.34,3: 252.77,4: 247.50,5: 242.23,6: 238.01
Time: 19/19:1:17 Arduino 0: 0: 272.11,1: 266.48,2: 260.86,3: 254.53,4: 248.91,5: 243.98,6: 237.66
Time: 19/19:1:17 Arduino 0: 0: 275.27,1: 269.65,2: 262.62,3: 257.70,4: 251.02,5: 244.69,6: 240.47
Time: 19/19:1:17 Arduino 0: 0: 278.79,1: 272.81,2: 266.13,3: 259.45,4: 253.83,5: 247.50,6: 241.17
Time: 19/19:1:17 Arduino 0: 0: 281.95,1: 274.92,2: 267.89,3: 262.62,4: 254.88,5: 249.26,6: 243.63
Time: 19/19:1:17 Arduino 0: 0: 283.36,1: 277.38,2: 270.70,3: 263.67,4: 258.05,5: 251.02,6: 245.04
Time: 19/19:1:17 Arduino 0: 0: 286.52,1: 279.84,2: 273.16,3: 266.84,4: 259.10,5: 253.48,6: 246.45
Time: 19/19:1:18 Arduino 0: 0: 288.98,1: 282.66,2: 274.92,3: 268.95,4: 262.27,5: 254.18,6: 248.55
Time: 19/19:1:18 Arduino 0: 0: 291.80,1: 285.47,2: 278.79,3: 271.41,4: 263.67,5: 257.34,6: 249.26
Time: 19/19:1:18 Arduino 0: 0: 294.26,1: 288.63,2: 280.20,3: 274.22,4: 266.48,5: 258.40,6: 252.42
Time: 19/19:1:18 Arduino 0: 0: 297.42,1: 290.74,2: 283.36,3: 275.98,4: 268.95,5: 261.21,6: 253.13
Time: 19/19:1:18 Arduino 0: 0: 300.59,1: 293.55,2: 285.82,3: 279.49,4: 270.35,5: 262.97,6: 256.29
Time: 19/19:1:18 Arduino 0: 0: 300.94,1: 294.61,2: 287.93,3: 280.20,4: 273.16,5: 264.73,6: 257.34
Time: 19/19:1:18 Arduino 0: 0: 300.94,1: 294.61,2: 287.93,3: 281.95,4: 273.52,5: 266.48,6: 258.75
Time: 19/19:1:18 Arduino 0: 0: 300.59,1: 294.96,2: 287.93,3: 281.95,4: 274.92,5: 266.48,6: 259.80
Time: 19/19:1:18 Arduino 0: 0: 300.23,1: 293.91,2: 288.63,3: 282.30,4: 274.57,5: 267.89,6: 259.80
Time: 19/19:1:18 Arduino 0: 0: 299.53,1: 294.96,2: 287.93,3: 282.30,4: 275.63,5: 267.54,6: 261.56
Time: 19/19:1:18 Arduino 0: 0: 297.42,1: 291.45,2: 286.52,3: 280.55,4: 274.22,5: 267.54,6: 259.80
Time: 19/19:1:18 Arduino 0: 0: 275.27,1: 274.92,2: 273.52,3: 272.81,4: 267.89,5: 262.62,6: 258.05
Time: 19/19:1:18 Arduino 0: 0: 263.32,1: 264.02,2: 263.67,3: 262.27,4: 260.86,5: 256.99,6: 252.77
Time: 19/19:1:19 Arduino 0: 0: 262.27,1: 260.51,2: 258.05,3: 256.99,4: 253.83,5: 251.72,6: 248.55
Time: 19/19:1:19 Arduino 0: 0: 262.62,1: 259.45,2: 255.59,3: 252.77,4: 251.02,5: 247.50,6: 244.69
Time: 19/19:1:19 Arduino 0: 0: 263.32,1: 258.75,2: 254.88,3: 251.72,4: 247.50,5: 245.39,6: 241.88
Time: 19/19:1:19 Arduino 0: 0: 262.97,1: 259.45,2: 254.18,3: 250.66,4: 247.15,5: 242.93,6: 240.82
Time: 19/19:1:19 Arduino 0: 0: 263.32,1: 258.75,2: 255.23,3: 250.31,4: 246.09,5: 242.58,6: 238.36
Time: 19/19:1:19 Arduino 0: 0: 262.62,1: 259.10,2: 253.83,3: 250.66,4: 245.74,5: 241.52,6: 239.06
Time: 19/19:1:19 Arduino 0: 0: 262.97,1: 258.75,2: 254.53,3: 249.61,4: 246.09,5: 241.88,6: 237.30
Time: 19/19:1:19 Arduino 0: 0: 262.62,1: 258.75,2: 253.83,3: 250.66,4: 245.04,5: 241.17,6: 237.66
Time: 19/19:1:19 Arduino 0: 0: 262.97,1: 259.10,2: 254.18,3: 249.61,4: 246.09,5: 240.82,6: 237.30
Time: 19/19:1:19 Arduino 0: 0: 262.97,1: 258.40,2: 254.18,3: 250.31,4: 245.04,5: 241.52,6: 236.95
Time: 19/19:1:19 Arduino 0: 0: 262.97,1: 259.10,2: 253.83,3: 249.96,4: 246.09,5: 240.47,6: 237.30
Time: 19/19:1:19 Arduino 0: 0: 262.97,1: 258.40,2: 254.53,3: 249.96,4: 245.04,5: 241.52,6: 236.25
Time: 19/19:1:19 Arduino 0: 0: 262.62,1: 258.75,2: 253.48,3: 249.96,4: 245.39,5: 240.47,6: 237.30
Time: 19/19:1:19 Arduino 0: 0: 262.97,1: 258.40,2: 254.53,3: 249.26,4: 245.39,5: 241.17,6: 235.90
Time: 19/19:1:20 Arduino 0: 0: 262.97,1: 258.75,2: 253.83,3: 249.96,4: 244.69,5: 240.82,6: 236.95
Time: 19/19:1:20 Arduino 0: 0: 262.97,1: 258.75,2: 254.18,3: 249.26,4: 246.09,5: 240.47,6: 236.25
Time: 19/19:1:20 Arduino 0: 0: 263.32,1: 258.40,2: 253.83,3: 249.96,4: 244.69,5: 241.17,6: 236.60
Time: 19/19:1:20 Arduino 0: 0: 263.32,1: 259.10,2: 253.83,3: 249.61,4: 245.74,5: 240.12,6: 236.60
Time: 19/19:1:20 Arduino 0: 0: 262.62,1: 258.40,2: 254.53,3: 249.96,4: 245.04,5: 241.17,6: 235.55
Time: 19/19:1:20 Arduino 0: 0: 263.32,1: 259.10,2: 253.13,3: 249.96,4: 245.39,5: 240.12,6: 236.95
Time: 19/19:1:20 Arduino 0: 0: 262.97,1: 258.40,2: 254.18,3: 249.26,4: 245.04,5: 240.82,6: 235.20
Time: 19/19:1:20 Arduino 0: 0: 262.97,1: 258.75,2: 253.48,3: 250.31,4: 244.69,5: 240.47,6: 236.60
Time: 19/19:1:20 Arduino 0: 0: 262.97,1: 258.75,2: 254.18,3: 249.26,4: 245.74,5: 240.47,6: 235.90
Time: 19/19:1:20 Arduino 0: 0: 263.32,1: 258.40,2: 253.83,3: 249.96,4: 244.69,5: 240.47,6: 236.25
Time: 19/19:1:20 Arduino 0: 0: 263.32,1: 258.40,2: 253.48,3: 249.26,4: 245.39,5: 239.77,6: 236.25
Time: 19/19:1:20 Arduino 0: 0: 262.62,1: 258.40,2: 254.18,3: 249.61,4: 244.34,5: 241.17,6: 235.55
Time: 19/19:1:20 Arduino 0: 0: 262.62,1: 259.10,2: 253.48,3: 249.61,4: 245.39,5: 239.77,6: 236.60
Time: 19/19:1:21 Arduino 0: 0: 262.97,1: 258.75,2: 254.53,3: 249.26,4: 245.04,5: 240.82,6: 235.20
Time: 19/19:1:21 Arduino 0: 0: 264.73,1: 260.51,2: 254.88,3: 251.02,4: 245.39,5: 240.47,6: 236.60
Time: 19/19:1:21 Arduino 0: 0: 267.19,1: 262.97,2: 257.34,3: 251.37,4: 247.15,5: 241.88,6: 236.25
Time: 19/19:1:21 Arduino 0: 0: 271.41,1: 265.08,2: 259.10,3: 254.53,4: 247.85,5: 242.93,6: 238.01
Time: 19/19:1:21 Arduino 0: 0: 273.87,1: 268.24,2: 261.91,3: 255.94,4: 250.66,5: 243.98,6: 239.06
Time: 19/19:1:21 Arduino 0: 0: 277.38,1: 270.35,2: 264.38,3: 258.75,4: 251.72,5: 246.80,6: 240.12
Time: 19/19:1:21 Arduino 0: 0: 280.20,1: 273.87,2: 266.48,3: 260.86,4: 254.88,5: 247.50,6: 242.93
Time: 19/19:1:21 Arduino 0: 0: 282.66,1: 276.33,2: 270.00,3: 263.32,4: 256.29,5: 250.31,6: 243.28
