Time: 3/20:56:40 Arduino 0: 0: 280.90,1: 270.70,2: 259.80,3: 248.20,4: 238.36,5: 228.16,6: 217.62
Time: 3/20:56:40 Arduino 0: 0: 283.36,1: 272.81,2: 261.21,3: 251.02,4: 239.41,5: 229.57,6: 219.73
Time: 3/20:56:40 Arduino 0: 0: 286.17,1: 275.27,2: 263.67,3: 252.42,4: 241.88,5: 230.63,6: 220.43
Time: 3/20:56:40 Arduino 0: 0: 287.93,1: 276.33,2: 265.08,3: 254.53,4: 242.58,5: 232.38,6: 221.48
Time: 3/20:56:40 Arduino 0: 0: 287.58,1: 277.38,2: 265.43,3: 254.88,4: 244.34,5: 232.73,6: 222.89
Time: 3/20:56:40 Arduino 0: 0: 287.23,1: 277.38,2: 266.13,3: 255.23,4: 244.34,5: 234.14,6: 222.89
Time: 3/20:56:40 Arduino 0: 0: 287.23,1: 277.38,2: 265.78,3: 255.94,4: 245.04,5: 234.14,6: 224.30
Time: 3/20:56:41 Arduino 0: 0: 286.88,1: 277.38,2: 266.48,3: 255.59,4: 245.39,5: 235.55,6: 223.95
Time: 3/20:56:41 Arduino 0: 0: 280.55,1: 271.41,2: 261.91,3: 253.48,4: 242.93,5: 233.44,6: 223.95
Time: 3/20:56:41 Arduino 0: 0: 259.10,1: 254.88,2: 250.31,3: 244.34,4: 237.66,5: 229.22,6: 220.78
Time: 3/20:56:41 Arduino 0: 0: 251.72,1: 248.55,2: 243.98,3: 239.41,4: 232.38,5: 226.05,6: 218.32
Time: 3/20:56:41 Arduino 0: 0: 250.66,1: 247.50,2: 241.52,3: 235.90,4: 230.27,5: 222.89,6: 215.86
Time: 3/20:56:41 Arduino 0: 0: 251.02,1: 246.09,2: 240.47,3: 234.49,4: 227.81,5: 221.84,6: 213.75
Time: 3/20:56:41 Arduino 0: 0: 251.72,1: 246.09,2: 239.06,3: 233.44,4: 227.11,5: 219.73,6: 213.05
Time: 3/20:56:41 Arduino 0: 0: 251.72,1: 245.39,2: 239.41,3: 232.38,4: 225.70,5: 219.38,6: 210.94
Time: 3/20:56:41 Arduino 0: 0: 251.37,1: 245.74,2: 238.71,3: 232.38,4: 225.35,5: 217.97,6: 211.29
Time: 3/20:56:41 Arduino 0: 0: 251.72,1: 245.39,2: 239.06,3: 231.33,4: 225.00,5: 217.97,6: 209.88
Time: 3/20:56:41 Arduino 0: 0: 251.72,1: 245.04,2: 238.36,3: 232.03,4: 223.95,5: 217.27,6: 210.23
Time: 3/20:56:41 Arduino 0: 0: 251.37,1: 245.04,2: 238.36,3: 230.98,4: 224.65,5: 216.56,6: 209.18
Time: 3/20:56:41 Arduino 0: 0: 251.72,1: 245.04,2: 238.36,3: 231.68,4: 223.59,5: 216.56,6: 208.83
Time: 3/20:56:41 Arduino 0: 0: 252.07,1: 245.04,2: 237.66,3: 230.98,4: 223.95,5: 215.86,6: 208.83
Time: 3/20:56:42 Arduino 0: 0: 251.72,1: 244.69,2: 238.01,3: 230.98,4: 223.24,5: 216.21,6: 207.77
Time: 3/20:56:42 Arduino 0: 0: 252.42,1: 246.80,2: 238.71,3: 231.68,4: 224.30,5: 215.86,6: 208.83
Time: 3/20:56:42 Arduino 0: 0: 255.94,1: 248.55,2: 240.82,3: 232.38,4: 224.65,5: 216.91,6: 208.48
Time: 3/20:56:42 Arduino 0: 0: 258.75,1: 251.37,2: 242.23,3: 234.49,4: 225.35,5: 217.27,6: 209.88
Time: 3/20:56:42 Arduino 0: 0: 261.56,1: 253.83,2: 245.04,3: 235.55,4: 227.46,5: 218.67,6: 209.88
Time: 3/20:56:42 Arduino 0: 0: 263.67,1: 255.94,2: 246.80,3: 238.01,4: 228.16,5: 219.73,6: 211.29
Time: 3/20:56:42 Arduino 0: 0: 267.54,1: 259.10,2: 248.91,3: 239.41,4: 230.63,5: 220.43,6: 211.99
Time: 3/20:56:42 Arduino 0: 0: 270.00,1: 260.86,2: 251.37,3: 241.88,4: 231.33,5: 222.54,6: 212.70
Time: 3/20:56:42 Arduino 0: 0: 273.52,1: 263.67,2: 253.13,3: 243.28,4: 233.79,5: 223.24,6: 214.45
Time: 3/20:56:42 Arduino 0: 0: 276.33,1: 265.78,2: 255.59,3: 245.04,4: 235.20,5: 225.70,6: 214.80
Time: 3/20:56:42 Arduino 0: 0: 278.44,1: 268.59,2: 256.99,3: 247.15,4: 236.60,5: 226.41,6: 216.91
Time: 3/20:56:42 Arduino 0: 0: 280.90,1: 270.35,2: 259.80,3: 248.55,4: 238.36,5: 228.52,6: 217.62
Time: 3/20:56:42 Arduino 0: 0: 283.01,1: 273.16,2: 261.56,3: 251.02,4: 239.41,5: 229.57,6: 219.73
Time: 3/20:56:43 Arduino 0: 0: 286.17,1: 275.98,2: 264.02,3: 252.77,4: 242.23,5: 230.98,6: 220.43
Time: 3/20:56:43 Arduino 0: 0: 287.58,1: 277.03,2: 265.43,3: 254.88,4: 242.93,5: 232.73,6: 222.19
Time: 3/20:56:43 Arduino 0: 0: 287.58,1: 277.73,2: 265.78,3: 255.23,4: 244.69,5: 233.09,6: 222.89
Time: 3/20:56:43 Arduino 0: 0: 287.58,1: 277.38,2: 266.48,3: 255.59,4: 244.69,5: 234.49,6: 223.24
Time: 3/20:56:43 Arduino 0: 0: 286.88,1: 277.73,2: 265.78,3: 255.94,4: 245.74,5: 234.49,6: 224.65
Time: 3/20:56:43 Arduino 0: 0: 287.23,1: 277.38,2: 266.48,3: 255.59,4: 245.39,5: 235.55,6: 224.30
Time: 3/20:56:43 Arduino 0: 0: 280.90,1: 271.76,2: 261.91,3: 253.48,4: 243.28,5: 233.79,6: 223.95
Time: 3/20:56:43 Arduino 0: 0: 259.10,1: 254.88,2: 250.66,3: 243.98,4: 237.66,5: 229.92,6: 220.78
Time: 3/20:56:43 Arduino 0: 0: 251.72,1: 248.91,2: 244.34,3: 239.41,4: 232.38,5: 226.05,6: 218.67
Time: 3/20:56:43 Arduino 0: 0: 251.37,1: 247.15,2: 241.52,3: 235.90,4: 230.27,5: 223.24,6: 216.21
Time: 3/20:56:43 Arduino 0: 0: 251.37,1: 246.09,2: 240.47,3: 234.49,4: 227.81,5: 221.84,6: 214.10
Time: 3/20:56:43 Arduino 0: 0: 252.07,1: 246.45,2: 239.06,3: 233.44,4: 227.46,5: 219.73,6: 213.05
Time: 3/20:56:43 Arduino 0: 0: 251.72,1: 245.74,2: 239.77,3: 232.73,4: 226.05,5: 219.73,6: 211.29
Time: 3/20:56:43 Arduino 0: 0: 251.72,1: 245.74,2: 238.71,3: 232.38,4: 225.70,5: 217.97,6: 211.29
Time: 3/20:56:44 Arduino 0: 0: 251.72,1: 245.74,2: 239.06,3: 231.68,4: 225.00,5: 218.32,6: 209.88
Time: 3/20:56:44 Arduino 0: 0: 251.72,1: 245.74,2: 238.36,3: 232.03,4: 224.30,5: 217.27,6: 210.23
Time: 3/20:56:44 Arduino 0: 0: 251.72,1: 245.04,2: 238.71,3: 230.98,4: 224.30,5: 216.91,6: 209.18
